#
# ============== HEADLINE SUMMARY (rel L2 err vs exact 3-D) ==============
# case               S |   s13 FSDT    s13 MSG |   s33 FSDT    s33 MSG
# garg_C_sand: 8x8 ABDG (core rm_plate_msg, mid reference; rows e11,e22,g12,k11,k22,k12,2g13,2g23):
#     2.67626e+10   4.57860e+08   0.00000e+00  -2.62786e-07   6.98131e-08   0.00000e+00   0.00000e+00   0.00000e+00
#     4.57860e+08   2.53801e+09   0.00000e+00   2.70332e-08   3.33880e-08   0.00000e+00   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   1.32732e+09   0.00000e+00   0.00000e+00   2.76305e-08   0.00000e+00   0.00000e+00
#    -3.00039e-07   2.88350e-08   0.00000e+00   5.37241e+09   9.29249e+07   0.00000e+00   0.00000e+00   0.00000e+00
#     4.19343e-08   4.08385e-08   0.00000e+00   9.29249e+07   4.46750e+08   0.00000e+00   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   2.76305e-08   0.00000e+00   0.00000e+00   2.56940e+08   0.00000e+00   0.00000e+00
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   1.09854e+08  -8.05226e-08
#     0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00   0.00000e+00  -8.05226e-08   1.08556e+08
# exact peaks     C     S=20    s13     7.0293   s33     1.0000
garg_C_sand       20 FSDT            7.712    492.800        n/a       0.6210        n/a
garg_C_sand       20 MSG-RM          7.712      2.388      0.209       7.0670     1.0000
garg_C_sand       20 MSG-RM-2nd    145.242    118.788    120.911      15.5946     2.2067
# exact peaks     C     S=10    s13     3.4592   s33     1.0000
garg_C_sand       10 FSDT           29.077    473.127        n/a       0.3105        n/a
garg_C_sand       10 MSG-RM         29.077      9.147      0.825       3.5335     1.0000
garg_C_sand       10 MSG-RM-2nd   2224.411    462.067    485.221      20.5885     5.8267
# exact peaks     C     S=5     s13     1.9281   s33     1.0000
garg_C_sand        5 FSDT           75.041    397.917        n/a       8.9283        n/a
garg_C_sand        5 MSG-RM         75.041     30.434      3.150       1.2959     1.0000
garg_C_sand        5 MSG-RM-2nd  24359.281   1631.849   1965.084      26.3159    20.3068
# exact peaks     C     S=4     s13     1.8260   s33     1.0000
garg_C_sand        4 FSDT           86.071    350.277        n/a       7.1426        n/a
garg_C_sand        4 MSG-RM         86.071     41.507      4.763       0.9470     1.0000
garg_C_sand        4 MSG-RM-2nd  45526.502   2321.761   3097.486      29.5165    31.1669
