y2 y3 S11 S22 S33 S23 S13 S12
-4.631092165526646490e-04 6.976042167457036092e-02 6.473966309662203789e+08 1.930597047866093516e+08 -1.014433517311379313e+06 3.071865282752230996e+05 -2.942525297980813193e+05 4.314188921101531386e+08
4.644955743720384739e-04 6.996925635593817527e-02 6.513413670620467663e+08 1.939602243280258477e+08 -4.563728990151435137e+05 -3.069571405014878837e+05 2.958184863280671998e+05 4.322806488320026994e+08
-4.644955743720383654e-04 6.996925635593817527e-02 6.513413670620743036e+08 1.939602243280357122e+08 -4.563728990165740252e+05 3.069571404699409613e+05 -2.958184862217183108e+05 4.322806488319963813e+08
4.655104587332905912e-04 7.012213395308188046e-02 6.538249287799333334e+08 1.942867116587910950e+08 -1.058425774705886841e+06 -3.075143739971858449e+05 2.987446919203932630e+05 4.329117033759379983e+08
-4.655104587332906454e-04 7.012213395308188046e-02 6.538249287799552679e+08 1.942867116587986946e+08 -1.058425774713084102e+06 3.075143739656762336e+05 -2.987446918073526467e+05 4.329117033759322166e+08
-4.668968165526644161e-04 7.033096863444969482e-02 6.577661336109670401e+08 1.951866535046393275e+08 -5.007959920998811722e+05 3.072909703642721288e+05 -3.003093859169777716e+05 4.337740177115011811e+08
4.668968165526645245e-04 7.033096863444970870e-02 6.577661336109455824e+08 1.951866535046314597e+08 -5.007959920927286148e+05 -3.072909703969918774e+05 3.003093860312437173e+05 4.337740177115073204e+08
4.679117053797364999e-04 7.048384623159340001e-02 6.602523704853785038e+08 1.955170582372869253e+08 -1.090022581147953868e+06 -3.078584291310979170e+05 3.032168096262596664e+05 4.344054593676971197e+08
-4.679117053797366083e-04 7.048384623159340001e-02 6.602523704853987694e+08 1.955170582372955978e+08 -1.090022581151694059e+06 3.078584290907563991e+05 -3.032168095036880113e+05 4.344054593676913977e+08
4.692980753999573197e-04 7.069268091296122825e-02 6.641901060012636185e+08 1.964164705377962887e+08 -5.328046801660954952e+05 -3.076409307289466378e+05 3.047800488902790821e+05 4.352682738648604155e+08
-4.692980753999571571e-04 7.069268091296122825e-02 6.641901060012764931e+08 1.964164705378029943e+08 -5.328046801709532738e+05 3.076409306884145481e+05 -3.047800487675086479e+05 4.352682738648559451e+08
4.703129642270292951e-04 7.084555851010493344e-02 6.666789731803203821e+08 1.967507543789653778e+08 -1.109413005236446857e+06 -3.082188916322412551e+05 3.076683210035763332e+05 4.359000611859224439e+08
-4.703129642270293493e-04 7.084555851010493344e-02 6.666789731803331375e+08 1.967507543789733052e+08 -1.109413005236700177e+06 3.082188915927732596e+05 -3.076683208779767156e+05 4.359000611859182119e+08
4.716993220464031742e-04 7.105439319147274779e-02 6.706132962672574520e+08 1.976496835600538850e+08 -5.525889240003973246e+05 -3.080069551713029505e+05 3.092296917968801572e+05 4.367633200687343478e+08
-4.716993220464030657e-04 7.105439319147274779e-02 6.706132962672700882e+08 1.976496835600627959e+08 -5.525889240004420280e+05 3.080069551312262192e+05 -3.092296916706654010e+05 4.367633200687297583e+08
4.727142108734752038e-04 7.120727078861645298e-02 6.731047465447038412e+08 1.979878080543140471e+08 -1.116784306642055511e+06 -3.085958130739878397e+05 3.120985352590158000e+05 4.373954128265640736e+08
-4.727142108734752038e-04 7.120727078861646686e-02 6.731047465447179079e+08 1.979878080543241501e+08 -1.116784306640088558e+06 3.085958130331343855e+05 -3.120985351331753191e+05 4.373954128265594244e+08
-4.741005808936957526e-04 7.141610546998426734e-02 6.770357091674307585e+08 1.988862988956516683e+08 -5.603368241781294346e+05 3.083896015168901649e+05 -3.136580690965726972e+05 4.382590619386476278e+08
4.741005808936959152e-04 7.141610546998428122e-02 6.770357091674180031e+08 1.988862988956415355e+08 -5.603368241799920797e+05 -3.083896015570929158e+05 3.136580692217584583e+05 4.382590619386524558e+08
4.751154697207679448e-04 7.156898306712797253e-02 6.795296961589078903e+08 1.992282280564774871e+08 -1.112314115901440382e+06 -3.089895872729891562e+05 3.165070298291047220e+05 4.388914210721913576e+08
-4.751154697207679990e-04 7.156898306712797253e-02 6.795296961589127779e+08 1.992282280564823151e+08 -1.112314115914836526e+06 3.089895872328652185e+05 -3.165070297031817609e+05 4.388914210721871257e+08
-4.765018275401417154e-04 7.177781774849580076e-02 6.834573452616133690e+08 2.001263236669350266e+08 -5.562268931685686111e+05 3.087886655536098406e+05 -3.180642180367114488e+05 4.397554078668079376e+08
4.765018275401419322e-04 7.177781774849581464e-02 6.834573452616176605e+08 2.001263236669327319e+08 -5.562268931537866592e+05 -3.087886655954991584e+05 3.180642181643913500e+05 4.397554078668109775e+08
4.775167163672139076e-04 7.193069534563950596e-02 6.859538194062483311e+08 2.004720206053764820e+08 -1.096180608772113919e+06 -3.094000806132228463e+05 3.208929777162247337e+05 4.403879954788922668e+08
-4.775167163672139618e-04 7.193069534563950596e-02 6.859538194062467813e+08 2.004720206053817570e+08 -1.096180608774587512e+06 3.094000805771609885e+05 -3.208929775907804142e+05 4.403879954788898826e+08
4.789030863874346191e-04 7.213953002700732031e-02 6.898781973342182636e+08 2.013697625264620781e+08 -5.404380972878634930e+05 -3.092046282631047070e+05 3.224478657805284020e+05 4.412522689392855167e+08
-4.789030863874345107e-04 7.213953002700732031e-02 6.898781973342158794e+08 2.013697625264654458e+08 -5.404380972910076380e+05 3.092046282267567003e+05 -3.224478656548237195e+05 4.412522689392837882e+08
4.799179752145065945e-04 7.229240762415103938e-02 6.923771101335039139e+08 2.017191928787089288e+08 -1.068552359943240881e+06 -3.098277977016691002e+05 3.252560241771742585e+05 4.418850482158836126e+08
-4.799179752145066487e-04 7.229240762415103938e-02 6.923771101334958076e+08 2.017191928787088394e+08 -1.068552359951987863e+06 3.098277976575886132e+05 -3.252560240493731690e+05 4.418850482158828974e+08
4.813043330338805277e-04 7.250124230551885374e-02 6.962982546870265007e+08 2.026166211743709743e+08 -5.131397991145551205e+05 -3.096374452880970202e+05 3.268081658543045633e+05 4.427495587952604294e+08
-4.813043330338803651e-04 7.250124230551885374e-02 6.962982546870073080e+08 2.026166211743669510e+08 -5.131397991252988577e+05 3.096374452434050036e+05 -3.268081657259145286e+05 4.427495587952617407e+08
4.823192173951326451e-04 7.265411990266255893e-02 6.987995549926202297e+08 2.029697499323829412e+08 -1.029597913146764040e+06 -3.102726395938695059e+05 3.295954365735959727e+05 4.433824939913812876e+08
-4.823192173951326993e-04 7.265411990266257281e-02 6.987995549926030636e+08 2.029697499323831201e+08 -1.029597913138940930e+06 3.102726395546933636e+05 -3.295954364573444473e+05 4.433824939913840890e+08
-4.837055752145064699e-04 7.286295458403037328e-02 7.027174998651595116e+08 2.038669032208971977e+08 -4.745012647282332182e+05 3.100874640094715287e+05 -3.311447867152621620e+05 4.442471935585793257e+08
4.837055752145066325e-04 7.286295458403038716e-02 7.027174998651856184e+08 2.038669032209002078e+08 -4.745012647345215082e+05 -3.100874640473384643e+05 3.311447868301784038e+05 4.442471935585750937e+08
4.847204640415786079e-04 7.301583218117407847e-02 7.052211365804436207e+08 2.042236969780310392e+08 -9.794790624922662973e+05 -3.107350425233981223e+05 3.339107520403977833e+05 4.448802499578187466e+08
-4.847204640415787164e-04 7.301583218117407847e-02 7.052211365804126263e+08 2.042236969780240357e+08 -9.794790624953508377e+05 3.107350424894708558e+05 -3.339107519295432721e+05 4.448802499578236341e+08
4.861068340617993194e-04 7.322466686254190671e-02 7.091359109489552975e+08 2.051206124629559517e+08 -4.246850453157573938e+05 -3.105550089526575175e+05 3.354571521693458199e+05 4.457450917914246321e+08
-4.861068340617992110e-04 7.322466686254190671e-02 7.091359109489272833e+08 2.051206124629480839e+08 -4.246850453188419342e+05 3.105550089189159335e+05 -3.354571520587150007e+05 4.457450917914294600e+08
4.871217228888712948e-04 7.337754445968561190e-02 7.116418322956033945e+08 2.054810387815307379e+08 -9.183529021394401789e+05 -3.112151772433075821e+05 3.382014249699194334e+05 4.463782356750671268e+08
-4.871217228888713490e-04 7.337754445968561190e-02 7.116418322955750227e+08 2.054810387815245092e+08 -9.183529021336138248e+05 3.112151772075966001e+05 -3.382014248705318896e+05 4.463782356750729680e+08
4.885080807082452280e-04 7.358637914105342626e-02 7.155534614267971516e+08 2.063777523137198091e+08 -3.638489317968785763e+05 -3.110399781037468929e+05 3.397444866979256039e+05 4.472431743849477768e+08
-4.885080807082451196e-04 7.358637914105342626e-02 7.155534614267535210e+08 2.063777523137091100e+08 -3.638489317934811115e+05 3.110399780695794616e+05 -3.397444866001109476e+05 4.472431743849560618e+08
4.895229695353172034e-04 7.373925673819713145e-02 7.180616134731824398e+08 2.067417783455370963e+08 -8.463759617516249418e+05 -3.117130797240847605e+05 3.424667785277185030e+05 4.478763730035899878e+08
-4.895229695353173118e-04 7.373925673819714532e-02 7.180616134731308222e+08 2.067417783455228209e+08 -8.463759617544561625e+05 3.117130796936742845e+05 -3.424667784396655625e+05 4.478763730035995245e+08
4.909093395555379690e-04 7.394809141956494580e-02 7.219701188358361721e+08 2.076383244989703000e+08 -2.921501018142700195e+05 -3.115429208389971755e+05 3.440065670512379729e+05 4.487413644818822145e+08
-4.909093395555378606e-04 7.394809141956494580e-02 7.219701188357816935e+08 2.076383244989548922e+08 -2.921501018175631762e+05 3.115429208104687859e+05 -3.440065669651037315e+05 4.487413644818921685e+08
4.919242283826099444e-04 7.410096901670863712e-02 7.244804488113564253e+08 2.080059197395119965e+08 -7.636959966460764408e+05 -3.122291415218231850e+05 3.467064172979322611e+05 4.493745860103716850e+08
-4.919242283826100529e-04 7.410096901670865099e-02 7.244804488113017082e+08 2.080059197394978702e+08 -7.636959966452270746e+05 3.122291414938921225e+05 -3.467064172267455142e+05 4.493745860103819370e+08
4.933105862019839319e-04 7.430980369807647923e-02 7.283858479456536770e+08 2.089023317761088610e+08 -2.097370052001178265e+05 -3.120636352328611538e+05 3.482424616472835769e+05 4.502395874318754673e+08
-4.933105862019838235e-04 7.430980369807647923e-02 7.283858479455958605e+08 2.089023317760951221e+08 -2.097370051993727684e+05 3.120636352061844082e+05 -3.482424615773796104e+05 4.502395874318855405e+08
4.943254750290559073e-04 7.446268129522018442e-02 7.308983001378325224e+08 2.092734646297272146e+08 -6.704623922272771597e+05 -3.127632903824249515e+05 3.509195543497684994e+05 4.508728009662663937e+08
-4.943254750290559073e-04 7.446268129522018442e-02 7.308983001377688646e+08 2.092734646297110617e+08 -6.704623922341763973e+05 3.127632903623832972e+05 -3.509195542925672489e+05 4.508728009662767053e+08
4.957118450492765645e-04 7.467151597658799878e-02 7.348006070779949427e+08 2.101697746372236311e+08 -1.167596208407431841e+05 -3.126026451099364203e+05 3.524519201481381897e+05 4.517377707006257176e+08
-4.957118450492764561e-04 7.467151597658799878e-02 7.348006070779256821e+08 2.101697746372067630e+08 -1.167596208482235670e+05 3.126026450910573476e+05 -3.524519200921336305e+05 4.517377707006365061e+08
4.967267338763486483e-04 7.482439356926588736e-02 7.373151269589622021e+08 2.105444158194447458e+08 -5.668159923744201660e+05 -3.133160396058262559e+05 3.551058525241691968e+05 4.523709461715159416e+08
-4.967267338763486483e-04 7.482439356926590124e-02 7.373151269588922262e+08 2.105444158194277287e+08 -5.668159923841655254e+05 3.133160395876051043e+05 -3.551058524804624612e+05 4.523709461715267897e+08
4.981130916957225273e-04 7.503322823843286415e-02 7.412143519331324100e+08 2.114406546725859642e+08 -1.335944591674208641e+04 -3.131599596013613627e+05 3.566341580717923352e+05 4.532358437131572962e+08
-4.981130916957225273e-04 7.503322823843286415e-02 7.412143519330664873e+08 2.114406546725709438e+08 -1.335944592562317848e+04 3.131599595829837490e+05 -3.566341580279688351e+05 4.532358437131670713e+08
4.991279760569746447e-04 7.518610583111073886e-02 7.437308827887591124e+08 2.118187742295593619e+08 -4.528981230064034462e+05 -3.138871220894439030e+05 3.592645263272421435e+05 4.538689519640232921e+08
-4.991279760569747532e-04 7.518610583111075274e-02 7.437308827886939049e+08 2.118187742295441031e+08 -4.528981230202019215e+05 3.138871220863163471e+05 -3.592645263041432481e+05 4.538689519640321732e+08
5.005143338763486322e-04 7.539494051247858097e-02 7.476270332900850773e+08 2.127149717157355845e+08 1.003216767868101597e+05 -3.137356857210068265e+05 3.607887200972957653e+05 4.547337381423714161e+08
-5.005143338763485238e-04 7.539494051247858097e-02 7.476270332900245190e+08 2.127149717157223225e+08 1.003216767739355564e+05 3.137356857180267107e+05 -3.607887200743851718e+05 4.547337381423793435e+08
5.015292227034206076e-04 7.554781810962227229e-02 7.501455184193421602e+08 2.130965410060326457e+08 -3.288446470714509487e+05 -3.144772067296472960e+05 3.633951023414715310e+05 4.553667508371272683e+08
-5.015292227034207160e-04 7.554781810962228616e-02 7.501455184192901850e+08 2.130965410060245395e+08 -3.288446470742821693e+05 3.144772067181029124e+05 -3.633951023263566894e+05 4.553667508371340632e+08
5.029155927236412648e-04 7.575665279099008664e-02 7.540385976989910603e+08 2.139927257966160774e+08 2.241472379595339298e+05 -3.143304193192305975e+05 3.649150572559498833e+05 4.562313874029367566e+08
-5.029155927236412648e-04 7.575665279099010052e-02 7.540385976989464760e+08 2.139927257966113389e+08 2.241472379582524300e+05 3.143304193078674725e+05 -3.649150572410562309e+05 4.562313874029417634e+08
